Prsnlty_type,HrsSmrtPhnUse_Wkday,CallFamMem,CallFrnds,Txtng,Entertainment,NgtvePhysHlthEffcts_SmrtPhnUse,DcreasdSlpTimeQulty_SmrtPhnUse,TiredDaytime_latenightSmrtPhnUse,Compulsive_Behavior,Functional_Impairment,TotAddiction_Score,Depression_score,Anxiety_score
1,1,1,1,1,0,1,2,2,20,17,54,2,2
0,1,0,0,0,1,1,2,2,14,14,48,2,0
1,1,1,1,1,1,1,2,3,17,11,47,1,2
1,1,1,1,1,1,1,2,2,15,17,52,2,5
1,1,0,0,0,1,2,1,1,12,10,39,1,2
1,0,1,0,1,1,1,1,1,13,12,39,3,2
0,1,1,1,1,1,3,3,3,27,24,76,3,2
1,1,1,1,1,1,3,3,3,26,24,76,1,0
1,1,1,1,1,1,4,3,1,26,17,59,2,3
0,0,1,1,1,1,1,1,1,11,9,32,0,1
0,0,1,1,1,0,2,2,2,16,16,47,1,2
0,1,0,0,1,0,3,3,2,21,16,60,2,1
0,1,1,1,1,1,4,1,1,18,14,52,1,2
1,1,1,0,1,1,2,2,1,14,12,41,4,3
1,1,0,0,0,1,3,3,2,21,19,64,1,4
1,1,1,1,1,1,1,1,1,15,8,37,2,2
1,1,0,0,1,1,2,3,2,20,22,69,6,3
0,1,1,1,1,0,3,2,1,14,14,44,2,2
0,1,1,1,1,1,4,3,1,21,13,61,2,3
1,1,0,1,1,1,3,3,3,26,24,77,1,2
1,1,0,0,0,1,3,3,3,24,23,71,2,2
0,1,0,0,1,1,1,1,1,11,12,41,2,1
0,1,0,0,1,0,1,2,1,17,13,54,1,0
1,1,0,1,1,1,3,3,2,23,19,65,3,2
0,1,1,0,1,1,1,1,1,23,13,69,0,1
0,1,0,0,1,0,2,2,2,21,19,68,2,1
1,1,1,1,1,1,2,3,3,23,22,72,4,2
0,1,1,1,1,1,3,3,3,23,23,68,1,1
1,1,0,0,1,0,3,2,2,20,17,57,1,3
